voter_id,name,age,gender,race,income,location,party,abortion_view,gun_control_view,immigration_view,voted_last_election
60562885,Robert Johnson,23,Male,White,Middle,Urban,Democrat,3.0,1.9,2.1,False
91734920,Malik Taylor,75,Male,Black,Low,Rural,Democrat,1.9,1.9,1.4,True
25198051,Jesus Ramirez,45,Male,Hispanic,High,Suburban,Republican,-2.6,-2.3,-2.5,True
24847009,Michael Williams,74,Male,White,Middle,Urban,Republican,-1.3,-2.4,-2.4,False
78042483,Wu Min,44,Female,Asian,Low,Suburban,Republican,-2.0,-3.0,-1.8,False
68935326,Jessica Miller,60,Female,White,Middle,Rural,Democrat,1.8,3.0,0.8,True
96172560,Jun Kang,52,Male,Asian,Low,Suburban,Democrat,2.0,3.0,1.6,True
51055853,Miguel Rodriguez,20,Male,Hispanic,Middle,Suburban,Democrat,1.7,2.1,1.4,False
22678680,Joseph Brown,79,Male,White,Middle,Urban,Independent,-0.3,-0.1,-2.2,False
40281500,William Miller,86,Male,White,Middle,Rural,Republican,-2.6,-2.1,-2.5,False
36258562,Alejandro Rodriguez,62,Male,Hispanic,Middle,Suburban,Democrat,2.3,2.3,2.8,True
26879535,Aaliyah Brown,90,Female,Black,Low,Urban,Democrat,2.2,2.8,1.3,True
89326632,Alejandro Torres,47,Male,Hispanic,Low,Suburban,Democrat,2.0,1.9,2.2,False
34347061,Mary Miller,84,Female,White,High,Suburban,Republican,-2.1,-1.7,-1.0,True
9989207,Jessica Miller,90,Female,White,Middle,Urban,Democrat,2.3,2.1,2.9,False
84378864,Jennifer Johnson,73,Female,White,Middle,Urban,Republican,-2.1,-2.8,-2.1,True
32353048,Aditya Singh,61,Male,Asian,Middle,Suburban,Republican,-3.0,-2.2,-2.4,True
28625651,Linda Davis,68,Female,White,Middle,Suburban,Democrat,2.4,3.0,2.0,False
89961953,Nancy Rodriguez,59,Female,White,High,Rural,Republican,-1.3,-3.0,-1.5,True
99589491,Nancy Jones,40,Female,White,Low,Suburban,Democrat,2.2,1.5,0.7,True
26772683,Karen Garcia,32,Female,White,Middle,Urban,Republican,-1.5,-2.3,-2.2,True
81124477,Karen Wilson,48,Female,White,Low,Urban,Democrat,2.4,1.4,0.7,True
21610829,Susan Williams,82,Female,White,Middle,Urban,Democrat,2.2,1.6,2.0,False
5763777,Luis Gonzalez,71,Male,Hispanic,Low,Urban,Democrat,1.6,1.6,2.9,True
67669356,Woo Lee,63,Male,Asian,Low,Urban,Democrat,2.1,1.5,1.1,False
9222068,Marcus Johnson,39,Male,Black,Middle,Suburban,Democrat,2.6,2.1,2.3,True
43329867,Mary Johnson,28,Female,White,Low,Rural,Republican,-1.9,-3.0,-2.6,False
54939050,John Wilson,64,Male,White,Middle,Urban,Republican,-2.9,-2.2,-2.8,True
76413969,Charles Garcia,67,Male,White,Middle,Urban,Republican,-2.7,-1.2,-2.9,True
97653407,Joseph Garcia,77,Male,White,Low,Rural,Republican,-2.7,-2.7,-0.9,True
13700058,Hee Han,73,Female,Asian,Low,Suburban,Democrat,1.8,2.5,1.7,True
25011502,Joseph Smith,88,Male,White,High,Urban,Republican,-3.0,-1.5,-1.6,False
24881069,Joseph Miller,72,Male,White,Middle,Urban,Republican,-2.9,-2.3,-2.1,False
41289794,Karen Brown,25,Female,White,Low,Rural,Republican,-2.3,-1.7,-1.4,False
17821191,Francisco Rodriguez,55,Male,Hispanic,Low,Urban,Independent,-0.2,-1.3,0.3,False
24024667,Luis Gonzalez,56,Male,Hispanic,Middle,Rural,Republican,-2.4,-2.2,-2.5,True
76941684,Thomas Brown,88,Male,White,High,Urban,Republican,-1.6,-1.9,-1.5,True
15752536,Karen Garcia,75,Female,White,Middle,Urban,Democrat,2.5,2.6,1.4,False
35251594,Tamika Jackson,84,Female,Black,Low,Urban,Democrat,1.8,2.2,2.4,False
78440573,David Brown,41,Male,White,Low,Rural,Republican,-2.0,-2.4,-2.1,False
44676664,Guadalupe Rodriguez,40,Female,Hispanic,Middle,Rural,Democrat,2.0,2.2,1.9,False
43573539,William Jones,75,Male,White,High,Suburban,Republican,-0.7,-2.5,-1.7,False
82755620,Linda Wilson,64,Female,White,Middle,Suburban,Democrat,1.9,1.5,2.1,False
44861222,James Rodriguez,26,Male,White,High,Rural,Republican,-1.4,-2.1,-2.6,False
45732842,Isabel Sanchez,74,Female,Hispanic,Middle,Urban,Democrat,2.4,1.5,0.7,False
37989118,Karen Davis,60,Female,White,Middle,Suburban,Democrat,3.0,0.9,1.8,False
57837347,William Jones,62,Male,White,Low,Urban,Independent,0.3,-0.2,-1.9,False
98729553,Jennifer Jones,82,Female,White,Low,Urban,Democrat,2.4,2.6,1.4,True
76224301,Sarah Garcia,70,Female,White,Middle,Urban,Democrat,3.0,2.1,1.2,True
50410510,Sarah Davis,64,Female,White,Low,Suburban,Democrat,1.5,2.1,1.4,True
56642761,Terrell Williams,62,Male,Black,High,Urban,Republican,-3.0,-3.0,-2.5,False
27986572,Richard Rodriguez,62,Male,White,High,Urban,Republican,-2.6,-2.8,-1.0,False
96308654,Elizabeth Garcia,81,Female,White,Low,Urban,Democrat,2.4,2.9,1.0,True
37096005,Elizabeth Brown,90,Female,White,High,Urban,Republican,-2.0,-2.1,-3.0,True
25064326,Patricia Jones,80,Female,White,Low,Urban,Democrat,3.0,2.3,2.8,True
36812847,Jesus Ramirez,28,Male,Hispanic,Low,Urban,Democrat,1.5,3.0,1.7,True
45570035,Hye Choi,69,Female,Asian,High,Suburban,Democrat,2.9,1.5,2.2,False
90328613,Ebony Williams,25,Female,Black,Low,Urban,Democrat,3.0,1.8,1.2,False
5397718,Jamal Brown,46,Male,Black,Middle,Suburban,Democrat,2.5,2.4,1.5,True
5624815,Jennifer Rodriguez,67,Female,White,Middle,Suburban,Democrat,3.0,2.4,1.3,True
35163762,Karen Jones,51,Female,White,High,Urban,Republican,-1.3,-2.2,-2.1,True
6782701,Guadalupe Perez,77,Female,Hispanic,Low,Suburban,Democrat,1.9,1.9,0.5,True
5085494,Nia Davis,81,Female,Black,Middle,Suburban,Democrat,2.4,2.1,1.8,False
51142413,Elizabeth Wilson,33,Female,White,Middle,Rural,Republican,-2.4,-2.4,-1.9,True
61034276,Charles Wilson,84,Male,White,Low,Rural,Republican,-1.8,-2.1,-1.5,True
7394649,Patricia Brown,57,Female,White,Middle,Urban,Democrat,2.6,2.7,0.9,True
1835701,Robert Brown,74,Male,White,Low,Urban,Democrat,2.7,2.1,2.5,False
98903355,Jessica Brown,67,Female,White,High,Urban,Republican,-2.5,-1.9,-1.8,False
13194122,Imani Wilson,62,Female,Black,Middle,Urban,Democrat,3.0,2.1,2.3,False
31115358,David Williams,42,Male,White,Middle,Urban,Republican,-2.8,-2.8,-1.9,False
93457079,Elizabeth Williams,21,Female,White,Middle,Urban,Republican,-2.5,-1.8,-2.1,False
23930317,Linda Rodriguez,38,Female,White,Middle,Suburban,Democrat,1.8,2.2,2.8,True
75045415,Sarah Jones,85,Female,White,Low,Suburban,Republican,-2.0,-1.5,-2.4,True
54785442,Joseph Wilson,70,Male,White,Middle,Urban,Republican,-1.9,-2.2,-2.2,True
10289769,Linda Miller,70,Female,White,Low,Urban,Republican,-2.5,-1.8,-0.9,False
93857469,Maya Banerjee,90,Female,Asian,Low,Rural,Democrat,1.6,1.5,1.2,True
89727867,Elena Gonzalez,39,Female,Hispanic,Low,Urban,Democrat,2.7,2.2,1.2,True
69967294,Karen Brown,28,Female,White,Middle,Rural,Republican,-1.4,-1.5,-1.7,True
68663161,James Garcia,22,Male,White,High,Urban,Republican,-1.8,-1.7,-1.5,False
37187602,Carlos Ramirez,33,Male,Hispanic,Low,Urban,Democrat,1.7,1.9,1.6,True
35776123,John Wilson,21,Male,White,Middle,Suburban,Democrat,1.6,2.3,2.4,False
30673681,James Johnson,59,Male,White,Middle,Suburban,Republican,-1.8,-3.0,-2.8,False
64757145,Karen Garcia,65,Female,White,Middle,Urban,Democrat,2.3,2.6,0.9,True
40986667,Mary Williams,82,Female,White,High,Suburban,Republican,-2.0,-0.7,-2.1,True
76149452,Wu Xiu,66,Female,Asian,Middle,Suburban,Democrat,2.7,2.7,1.1,False
99541039,Tyrone Williams,46,Male,Black,Middle,Urban,Democrat,1.5,1.4,2.0,True
39965758,Richard Garcia,74,Male,White,Low,Urban,Independent,2.3,-2.6,-1.0,False
14315692,Juana Ramirez,38,Female,Hispanic,High,Urban,Democrat,2.8,1.7,2.3,True
98269220,Charles Jones,29,Male,White,Low,Urban,Democrat,2.4,2.8,0.2,True
2674609,William Garcia,71,Male,White,Low,Urban,Independent,-2.7,0.7,0.2,True
9494268,Eun Choi,28,Female,Asian,Low,Rural,Democrat,1.6,2.2,1.2,True
9014476,Shreya Patel,67,Female,Asian,Middle,Suburban,Democrat,3.0,2.2,1.8,False
80185618,John Johnson,62,Male,White,High,Suburban,Republican,-1.8,-3.0,-2.3,True
78336236,Michael Smith,51,Male,White,High,Urban,Republican,-3.0,-2.6,-2.3,True
9359686,Elena Torres,37,Female,Hispanic,Low,Urban,Democrat,3.0,1.9,0.7,True
75115319,Karen Rodriguez,26,Female,White,Low,Urban,Democrat,2.4,1.3,1.8,False
19790078,David Williams,35,Male,White,Low,Rural,Democrat,2.1,3.0,2.7,True
10608378,Elizabeth Wilson,50,Female,White,High,Urban,Democrat,2.4,1.9,1.5,False
96959366,Sarah Williams,78,Female,White,Low,Urban,Democrat,2.5,2.3,1.7,True
75130925,Terrell Davis,25,Male,Black,Middle,Suburban,Democrat,1.3,3.0,2.0,False
14633313,Imani Taylor,77,Female,Black,Middle,Urban,Democrat,3.0,1.3,1.0,True
36006106,James Williams,82,Male,White,Middle,Suburban,Democrat,1.8,2.3,1.9,True
94087011,David Brown,76,Male,White,Middle,Urban,Democrat,1.6,1.9,1.3,False
14978119,Isabel Rodriguez,47,Female,Hispanic,Middle,Rural,Democrat,3.0,2.5,0.7,False
92068877,Darnell Taylor,49,Male,Black,Middle,Rural,Democrat,1.8,2.2,0.6,True
40766453,Patricia Garcia,39,Female,White,Low,Suburban,Democrat,2.6,1.8,2.1,True
6482518,William Wilson,78,Male,White,Low,Suburban,Democrat,2.3,1.2,3.0,True
49472150,Richard Johnson,67,Male,White,Middle,Suburban,Democrat,1.7,1.9,1.8,True
17576681,Mary Johnson,59,Female,White,Low,Urban,Democrat,2.7,2.6,1.6,True
68593821,Guadalupe Sanchez,26,Female,Hispanic,Low,Urban,Democrat,2.6,1.0,1.7,True
9245742,Thomas Davis,86,Male,White,High,Suburban,Democrat,3.0,2.3,1.0,False
73038834,Luis Hernandez,85,Male,Hispanic,Middle,Suburban,Republican,-2.9,-3.0,-3.0,True
32120912,Jennifer Miller,61,Female,White,Middle,Urban,Republican,-1.9,-2.0,-1.9,True
43765616,Patricia Garcia,71,Female,White,Middle,Rural,Republican,-1.8,-2.3,-1.7,False
64371722,John Miller,43,Male,White,Low,Urban,Republican,-1.8,-2.2,-2.0,False
52507792,David Smith,26,Male,White,Middle,Rural,Republican,-2.5,-2.1,-1.3,False
23655616,Susan Jones,76,Female,White,Low,Urban,Democrat,1.5,2.0,1.5,True
85341348,Sarah Wilson,80,Female,White,Middle,Suburban,Republican,-1.5,-3.0,-1.6,False
50364832,Nancy Jones,55,Female,White,Middle,Rural,Republican,-2.5,-1.7,-2.2,False
22969398,Linda Rodriguez,50,Female,White,Middle,Rural,Independent,-0.1,0.5,-0.7,False
68116095,Thomas Davis,48,Male,White,Low,Urban,Republican,-3.0,-2.0,-2.5,True
87540390,Li Xiu,33,Female,Asian,Low,Urban,Democrat,1.9,0.4,1.2,True
39338699,Joseph Johnson,22,Male,White,Middle,Urban,Republican,-2.8,-2.5,-1.5,False
2577842,Michael Williams,81,Male,White,Middle,Rural,Republican,-1.1,-2.8,-2.5,True
99782249,Li Mei,37,Female,Asian,High,Urban,Republican,-1.3,-3.0,-1.8,False
58929808,Keisha Johnson,78,Female,Black,Middle,Rural,Democrat,3.0,3.0,1.4,False
74864198,Guadalupe Gonzalez,44,Female,Hispanic,Low,Urban,Republican,-2.5,-2.3,-2.2,False
91732667,Nia Anderson,46,Female,Black,Middle,Suburban,Democrat,3.0,1.9,1.4,True
42452601,Joseph Smith,32,Male,White,Low,Suburban,Republican,-2.3,-2.1,-1.2,True
38695947,Nancy Davis,39,Female,White,High,Urban,Republican,-1.5,-1.4,-2.6,True
702000,Amit Reddy,75,Male,Asian,Middle,Urban,Democrat,2.0,3.0,1.8,True
17431440,Jessica Wilson,52,Female,White,Middle,Urban,Republican,-1.4,-2.2,-1.6,False
87515704,Juana Hernandez,89,Female,Hispanic,Low,Urban,Democrat,2.6,2.4,3.0,True
48989008,Susan Jones,59,Female,White,Low,Rural,Democrat,2.3,2.8,2.4,False
1844721,Elena Lopez,30,Female,Hispanic,Low,Urban,Republican,-1.1,-1.5,-2.1,False
30880088,Robert Johnson,55,Male,White,High,Suburban,Republican,-3.0,-2.0,-2.3,True
79745281,John Johnson,68,Male,White,Middle,Urban,Republican,-1.7,-2.4,-2.2,False
32703325,Aaliyah Brown,19,Female,Black,High,Urban,Democrat,1.9,2.7,1.4,False
20479351,Hyun Kang,59,Male,Asian,Middle,Suburban,Democrat,2.1,1.4,1.3,False
46019487,James Davis,37,Male,White,Low,Suburban,Democrat,1.7,2.0,1.9,False
31193712,Richard Wilson,77,Male,White,Middle,Urban,Democrat,2.2,1.4,2.5,True
19591134,Li Jie,50,Male,Asian,Low,Suburban,Republican,-2.5,-3.0,-2.2,False
73575467,Patricia Rodriguez,81,Female,White,Low,Urban,Republican,-2.4,-2.6,-1.4,True
20246761,Ebony Taylor,65,Female,Black,Middle,Urban,Democrat,2.5,2.4,1.1,True
74787687,Charles Wilson,33,Male,White,Middle,Urban,Democrat,1.9,1.5,1.1,True
5737906,Robert Brown,72,Male,White,Middle,Suburban,Republican,-2.1,-2.3,-1.7,True
72766467,Nancy Garcia,49,Female,White,Middle,Urban,Republican,-1.7,-2.5,-1.4,True
25139080,Isabel Torres,31,Female,Hispanic,Low,Rural,Democrat,2.0,2.5,2.1,False
37967752,Charles Johnson,62,Male,White,Middle,Urban,Republican,-2.0,-2.5,-2.5,True
37114300,Nancy Davis,35,Female,White,Low,Suburban,Democrat,2.9,2.2,0.5,False
23256598,Nia Williams,39,Female,Black,Low,Urban,Democrat,1.2,2.3,2.2,True
11996672,John Jones,76,Male,White,Low,Urban,Republican,-1.7,-2.9,-2.2,True
86441129,Sofia Lopez,70,Female,Hispanic,Middle,Urban,Independent,0.9,-0.5,-2.6,True
84460844,Nancy Williams,22,Female,White,High,Urban,Republican,-1.8,-3.0,-1.5,False
3108872,Patricia Wilson,69,Female,White,Middle,Urban,Democrat,2.4,1.9,2.7,True
80729489,Elena Torres,29,Female,Hispanic,Low,Suburban,Democrat,1.7,2.7,0.7,False
78742125,Hye Song,84,Female,Asian,Middle,Suburban,Republican,-1.7,-2.9,-2.3,True
29715243,Elizabeth Johnson,34,Female,White,Middle,Urban,Democrat,2.3,3.0,1.8,True
79088394,Miguel Hernandez,65,Male,Hispanic,Middle,Urban,Independent,-0.1,-1.4,1.6,False
57785359,Karen Rodriguez,77,Female,White,Middle,Urban,Democrat,2.9,2.3,1.0,True
4257108,Patricia Johnson,63,Female,White,Low,Rural,Democrat,2.1,1.4,1.7,True
36513538,Patricia Wilson,78,Female,White,Low,Urban,Democrat,1.4,1.6,1.1,True
96982139,Darius Jones,74,Male,Black,Low,Suburban,Democrat,0.1,1.6,1.4,False
36083696,Guadalupe Gonzalez,83,Female,Hispanic,Middle,Rural,Democrat,2.0,2.1,1.9,True
84826033,Jessica Jones,74,Female,White,Middle,Urban,Democrat,2.4,1.9,1.5,True
24631799,Andre Taylor,50,Male,Black,High,Urban,Republican,-2.4,-1.7,-2.5,True
22541596,James Wilson,48,Male,White,Middle,Suburban,Republican,-2.5,-1.8,-2.9,False
48695242,Priya Kumar,28,Female,Asian,High,Urban,Republican,-2.5,-1.5,-2.1,True
